subject.t0,Reason
Q13489820,No sitelink found
Q13882625,No sitelink found
Q13882674,No sitelink found
Q13933618,No sitelink found
Q14165982,No sitelink found
Q14166042,No sitelink found
Q14174498,No sitelink found
Q14175641,No sitelink found
Q14175717,No sitelink found
Q14329190,No sitelink found
Q14430111,No sitelink found
Q15067210,No sitelink found
Q15076703,No sitelink found
Q15439396,No sitelink found
Q15709584,No abstract found
Q15898793,No sitelink found
Q16382691,No sitelink found
Q16648077,No sitelink found
Q16832364,No sitelink found
Q17293377,No sitelink found
Q17350280,No sitelink found
Q17399683,No sitelink found
Q17480272,No sitelink found
Q17485980,No sitelink found
Q17487908,No sitelink found
Q17489057,No sitelink found
Q17988783,No sitelink found
Q18103254,No sitelink found
Q18130124,No sitelink found
Q18348523,No abstract found
Q18351165,No sitelink found
Q18604162,No sitelink found
Q18785224,No sitelink found
Q18817323,No sitelink found
Q18918135,No sitelink found
Q18922526,No sitelink found
Q18977607,No sitelink found
Q19266718,No sitelink found
Q19344820,No sitelink found
Q19589679,No sitelink found
Q19628091,No sitelink found
Q19685470,No sitelink found
Q19723462,No abstract found
Q19791067,No sitelink found
Q20013182,No abstract found
Q20022896,No sitelink found
Q20054031,No sitelink found
Q20054486,No abstract found
Q20749434,No sitelink found
Q20760359,No sitelink found
Q20822950,No sitelink found
Q21207259,No sitelink found
Q21208817,No sitelink found
Q21294858,No sitelink found
Q21996219,No sitelink found
Q22028638,No sitelink found
Q23758983,No sitelink found
Q23904861,No sitelink found
Q23943016,No sitelink found
Q23943020,No sitelink found
Q23943032,No sitelink found
Q24034797,No sitelink found
Q24237396,No sitelink found
Q24262149,No sitelink found
Q24647154,No sitelink found
Q25159856,No sitelink found
Q25211929,No sitelink found
Q25399971,No sitelink found
Q25400890,No sitelink found
Q25990423,No sitelink found
Q26270016,No sitelink found
Q26651955,No sitelink found
Q26868997,No sitelink found
Q26878185,No sitelink found
Q27688670,No sitelink found
Q27967733,No sitelink found
Q28055280,No abstract found
Q28057667,No sitelink found
Q28090273,No sitelink found
Q28599870,No sitelink found
Q29016629,No sitelink found
Q29034632,No sitelink found
Q29419586,No abstract found
Q29424926,No sitelink found
Q29444200,No sitelink found
Q29471311,No sitelink found
Q29860270,No sitelink found
Q29967338,No sitelink found
Q29981510,No sitelink found
Q30014921,No sitelink found
Q30015002,No sitelink found
Q30016881,No sitelink found
Q30017116,No sitelink found
Q30017420,No sitelink found
Q30017539,No sitelink found
Q30018876,No sitelink found
Q30018922,No sitelink found
Q30018964,No sitelink found
Q30027054,No sitelink found
Q30034697,No sitelink found
Q30063299,No sitelink found
Q30076334,No sitelink found
Q30089361,No sitelink found
Q30092820,No sitelink found
Q30127666,No sitelink found
Q30127671,No sitelink found
Q30230509,No sitelink found
Q30260456,No sitelink found
Q30320018,No sitelink found
Q30332124,No sitelink found
Q31787093,No sitelink found
Q33319711,No sitelink found
Q33518550,No sitelink found
Q35525972,No sitelink found
Q38215533,No sitelink found
Q39081252,No sitelink found
Q41481777,No sitelink found
Q41531424,No sitelink found
Q41713165,No sitelink found
Q42315372,No sitelink found
Q42418509,No sitelink found
Q43256028,No sitelink found
Q44739883,No sitelink found
Q45102086,No sitelink found
Q47007835,No sitelink found
Q47016111,No sitelink found
Q47018119,No sitelink found
Q47074370,No sitelink found
Q47092664,No sitelink found
Q47240156,No sitelink found
Q47508721,No sitelink found
Q47544989,No sitelink found
Q47820294,No sitelink found
Q47887288,No sitelink found
Q48513016,No sitelink found
Q51568186,No abstract found
Q51668452,No sitelink found
Q51806754,No sitelink found
Q52082328,No sitelink found
Q52128552,No sitelink found
Q52432764,No sitelink found
Q52856272,No sitelink found
Q10862046,No sitelink found
Q11284669,No sitelink found
Q11427825,No sitelink found
Q42381231,No sitelink found
Q11241855,No sitelink found
Q5823573,No sitelink found
Q16831274,No sitelink found
Q28007630,No sitelink found
Q872344,No sitelink found
Q872358,No sitelink found
Q1119240,No sitelink found
Q1299465,No sitelink found
Q1563164,No sitelink found
Q2857074,No sitelink found
Q3077096,No sitelink found
Q4363776,No sitelink found
Q5901917,No sitelink found
Q12886194,No sitelink found
Q18456347,No sitelink found
Q23660877,No sitelink found
Q28359052,No sitelink found
Q30066315,No sitelink found
Q41523782,No sitelink found
Q42053630,No sitelink found
Q55054316,No sitelink found
Q55143408,No sitelink found
Q51639863,No sitelink found
Q2833633,No sitelink found
Q3434759,No sitelink found
Q27921539,No sitelink found
Q5856053,No sitelink found
Q1583524,No sitelink found
Q1584592,No sitelink found
Q2853588,No sitelink found
Q3083910,No sitelink found
Q3262765,No sitelink found
Q3295279,No sitelink found
Q3357832,No abstract found
Q3426635,No sitelink found
Q5491926,No sitelink found
Q5760142,No sitelink found
Q5953607,No sitelink found
Q10856532,No sitelink found
Q11361417,No sitelink found
Q11364388,No sitelink found
Q11366544,No sitelink found
Q11382354,No sitelink found
Q11426374,No sitelink found
Q11603577,No sitelink found
Q12884239,No sitelink found
Q17149903,No sitelink found
Q17329119,No sitelink found
Q17381829,No sitelink found
Q18435905,No sitelink found
Q18487222,No sitelink found
Q18528922,No sitelink found
Q18603072,No sitelink found
Q18618633,No sitelink found
Q18651954,No sitelink found
Q18814851,No sitelink found
Q19629499,No sitelink found
Q20069565,No sitelink found
Q20107475,No sitelink found
Q20658456,No sitelink found
Q20706196,No sitelink found
Q21061308,No sitelink found
Q21402252,No sitelink found
Q21408238,No sitelink found
Q23598990,No sitelink found
Q23762724,No sitelink found
Q24229081,No sitelink found
Q25687348,No sitelink found
Q26237354,No sitelink found
Q26972734,No sitelink found
Q27049782,No sitelink found
Q27049807,No sitelink found
Q28024098,No sitelink found
Q29378273,No sitelink found
Q29473385,No sitelink found
Q35026461,No sitelink found
Q41458659,No sitelink found
Q47247425,No sitelink found
Q55085963,No sitelink found
Q32904723,No sitelink found
Q106074,No sitelink found
Q167535,No sitelink found
Q175806,No abstract found
Q346993,No abstract found
Q629533,No sitelink found
Q721131,No abstract found
Q860079,No sitelink found
Q927390,No sitelink found
Q960105,No sitelink found
Q1497792,No sitelink found
Q1731525,No sitelink found
Q2103494,No sitelink found
Q2381503,No sitelink found
Q2825441,No sitelink found
Q2831264,No sitelink found
Q2831509,No sitelink found
Q2831582,No sitelink found
Q2831592,No sitelink found
Q2833671,No sitelink found
Q2833826,No sitelink found
Q2834196,No sitelink found
Q2846425,No sitelink found
Q2847319,No sitelink found
Q2847631,No sitelink found
Q2847720,No sitelink found
Q2848071,No sitelink found
Q2849452,No sitelink found
Q2853523,No sitelink found
Q2861351,No sitelink found
Q2862005,No sitelink found
Q2863470,No sitelink found
Q2897440,No sitelink found
Q2897685,No sitelink found
Q2898191,No sitelink found
Q3071581,No sitelink found
Q3081888,No sitelink found
Q3092287,No sitelink found
Q3092366,No sitelink found
Q3093817,No sitelink found
Q3098928,No sitelink found
Q3102358,No sitelink found
Q3103125,No sitelink found
Q3103168,No sitelink found
Q3103226,No sitelink found
Q3104734,No sitelink found
Q3121881,No sitelink found
Q3122894,No sitelink found
Q3130570,No sitelink found
Q3131203,No sitelink found
Q3131374,No sitelink found
Q3159177,No sitelink found
Q3159978,No sitelink found
Q3164030,No sitelink found
Q3164898,No sitelink found
Q3166569,No sitelink found
Q3172431,No sitelink found
Q3172584,No sitelink found
Q3173508,No sitelink found
Q3174292,No sitelink found
Q3175011,No sitelink found
Q3175084,No sitelink found
Q3184348,No sitelink found
Q3185278,No sitelink found
Q3186435,No sitelink found
Q3187556,No sitelink found
Q3189518,No sitelink found
Q3204984,No sitelink found
Q3261285,No sitelink found
Q3262409,No sitelink found
Q3265372,No sitelink found
Q3265483,No sitelink found
Q3265699,No sitelink found
Q3270473,No sitelink found
Q3270490,No sitelink found
Q3270637,No sitelink found
Q3270971,No sitelink found
Q3271084,No sitelink found
Q3271514,No sitelink found
Q3287654,No sitelink found
Q3287832,No sitelink found
Q3288138,No sitelink found
Q3288667,No sitelink found
Q3288722,No sitelink found
Q3289094,No sitelink found
Q3289158,No sitelink found
Q3293331,No sitelink found
Q3295238,No sitelink found
Q3295280,No sitelink found
Q3295396,No sitelink found
Q3295445,No sitelink found
Q3300350,No sitelink found
Q3301390,No sitelink found
Q3302177,No sitelink found
Q3302756,No sitelink found
Q3309119,No sitelink found
Q3310953,No sitelink found
Q3313018,No sitelink found
Q3316132,No sitelink found
Q3318455,No sitelink found
Q3371461,No sitelink found
Q3371600,No sitelink found
Q3379147,No sitelink found
Q3379196,No sitelink found
Q3383693,No sitelink found
Q3384147,No sitelink found
Q3385394,No sitelink found
Q3419152,No sitelink found
Q3421011,No sitelink found
Q3436177,No sitelink found
Q3439431,No sitelink found
Q3470409,No sitelink found
Q3471307,No sitelink found
Q3483403,No sitelink found
Q3492721,No sitelink found
Q3511542,No abstract found
Q3755071,No sitelink found
Q3826632,No sitelink found
Q3876137,No abstract found
Q3917999,No sitelink found
Q4113040,No sitelink found
Q4199581,No sitelink found
Q4319746,No sitelink found
Q4694658,No abstract found
Q5948680,No sitelink found
Q5992936,No sitelink found
Q5994814,No sitelink found
Q11685866,No sitelink found
Q11729573,No sitelink found
Q11995291,No sitelink found
Q12000385,No sitelink found
Q12392769,No sitelink found
Q12881502,No sitelink found
Q13365660,No sitelink found
Q14157935,No sitelink found
Q15727945,No sitelink found
Q15965500,No sitelink found
Q16224247,No sitelink found
Q16237129,No sitelink found
Q16257811,No sitelink found
Q16661302,No sitelink found
Q16924356,No sitelink found
Q17350604,No sitelink found
Q18225031,No sitelink found
Q18515536,No sitelink found
Q18642502,No sitelink found
Q18649828,No sitelink found
Q18810097,No sitelink found
Q19654391,No sitelink found
Q19772325,No sitelink found
Q19840617,No sitelink found
Q19999464,No sitelink found
Q21400267,No sitelink found
Q22009962,No sitelink found
Q23943018,No sitelink found
Q26840241,No sitelink found
Q27776887,No sitelink found
Q29378313,No sitelink found
Q30015052,No sitelink found
Q33251870,No sitelink found
Q43376824,No sitelink found
Q47002028,No sitelink found
Q47154057,No sitelink found
Q48378330,No sitelink found
Q881756,No sitelink found
Q20155586,No sitelink found
Q51647278,No sitelink found
Q24249565,No sitelink found
Q3170892,No sitelink found
Q16380764,No sitelink found
Q43740811,No sitelink found
Q50752058,No sitelink found
Q50756205,No sitelink found
Q50829010,No sitelink found
Q10346259,No sitelink found
Q8198574,No sitelink found
Q17335617,No sitelink found
Q8323100,No sitelink found
Q3309314,No sitelink found
Q5638787,No sitelink found
Q16916380,No sitelink found
Q5955102,No sitelink found
Q17350670,No sitelink found
Q17782035,No sitelink found
Q18792353,No sitelink found
Q18822326,No sitelink found
Q18822571,No sitelink found
Q19685096,No sitelink found
Q20172053,No sitelink found
Q20665885,No sitelink found
Q21570431,No sitelink found
Q38281286,No sitelink found
Q49216347,No sitelink found
Q1158177,No abstract found
Q10299244,No sitelink found
Q15098883,No sitelink found
Q28924120,No sitelink found
Q51590273,No sitelink found
Q25981,No abstract found
Q46944916,No sitelink found
Q50413748,No sitelink found
Q3764129,No sitelink found
Q2042506,No sitelink found
Q20898777,No sitelink found
Q51843930,No sitelink found
Q3122231,No sitelink found
Q41920481,No sitelink found
Q17619571,No sitelink found
Q47037506,No sitelink found
Q47790737,No sitelink found
Q28599127,No sitelink found
Q11528511,No sitelink found
Q3387027,No sitelink found
Q3172786,No sitelink found
Q3384858,No sitelink found
Q3526656,No sitelink found
Q18012362,No sitelink found
Q3300890,No sitelink found
Q3074355,No sitelink found
Q27493493,No sitelink found
Q27493503,No sitelink found
Q26914008,No sitelink found
Q427399,No abstract found
Q860870,No sitelink found
Q908894,No sitelink found
Q1056132,No sitelink found
Q1160060,No sitelink found
Q1294194,No sitelink found
Q1297104,No sitelink found
Q1692060,No sitelink found
Q1693765,No sitelink found
Q5802353,No sitelink found
Q12351317,No sitelink found
Q38573437,No sitelink found
Q47631025,No sitelink found
Q5893672,No sitelink found
