instance_of,predicate,count_qids
fictional human,place of death,12
television character,performer,12
mineral species,IMA status and/or rank,12
Wikidata property for a multi-source identifier,Wikidata property example,12
Wikidata property for a multi-source identifier,instance of,12
fictional human,voice actor,12
Wikidata property for a multi-source identifier,property constraint,12
Wikidata property for an identifier,format as a regular expression,12
human,Commons gallery,12
mineral species,instance of,12
film character,killed by,12
mineral species,subclass of,12
comics character,sex or gender,12
animated character,color,12
Wikidata property related to medicine,formatter URL,12
anime character,eye color,12
manga character,voice actor,12
fictional human,date of death,12
human,sports discipline competed in,12
anime character,from narrative universe,12
Wikidata property for an identifier,URL match pattern,12
Wikidata property for an identifier,property usage tracking category,12
Wikidata qualifier,Wikidata item of this property,12
human,married name,12
video game,ESRB rating,12
video game,input device,12
Wikidata property for authority control,formatter URL,12
television character,family name,11
mineral species,IMA Mineral Symbol,11
human,honorific prefix,11
human,nominated for,11
video game character,occupation,11
human,represented by,11
literary character,killed by,11
Wikidata property related to medicine,applicable 'stated in' value,11
human,official blog URL,11
Wikidata property for authority control,property usage tracking category,11
Wikidata property for a multi-source identifier,Wikidata item of this property,11
Wikidata property for a multi-source identifier,property proposal discussion,11
Hobbit,present in work,11
mineral species,chemical formula,11
mineral species,Nickel-Strunz 9th edition (updated 2009),11
character,sex or gender,11
mineral species,named after,11
film character,father,10
Wikimedia disambiguation page,instance of,10
animated character,country of citizenship,10
manga character,media franchise,10
literary character,residence,10
manga character,eye color,10
mineral species,crystal system,10
literary character,father,10
manga character,occupation,10
film character,place of birth,10
Naturschutzgebiet,named after,10
fictional human,cause of death,10
chapter,volume,10
chapter,part of,10
fictional human,wears,10
without instance of,subclass of,10
fictional human,mother,10
chapter,instance of,10
chapter,author,10
anime character,media franchise,10
Wikidata property for an identifier,Wikidata item of this property,10
horse,sex or gender,9
fictional human,spouse,9
family name,native label,9
human,date of burial or cremation,9
human,commander of (DEPRECATED),9
horse,instance of,9
horse,date of birth,9
protected area,named after,9
Wikidata qualifier,property usage tracking category,9
family name,writing system,9
aircraft model,has use,9
manga character,hair color,9
aircraft model,subclass of,9
animated character,Commons category,9
human,owner of,9
nature reserve,located in the administrative territorial entity,9
mineral species,"Nickel-Strunz '10th ed', review of (9th ed/ 2009 update)",9
Wikidata property for authority control,related property,9
fossil taxon,taxon common name,9
nature reserve,instance of,9
Wikidata property for a multi-source identifier,related property,9
human,has written for,9
mineral species,Commons category,9
human,nomen gentilicium,9
comics character,from narrative universe,9
nature reserve,country,9
family name,instance of,9
Wikidata property related to medicine,format as a regular expression,9
aircraft model,wing configuration,9
aircraft model,instance of,9
fictional human,media franchise,9
Wikidata property for authority control,URL match pattern,9
human,ancestral home,9
literary character,name in native language,9
literary character,media franchise,9
literary character,place of birth,9
human,topic's main template,8
human,significant person,8
migratory bird sanctuary of Canada,official website,8
publishing company,instance of,8
animated character,given name,8
Wikidata property with datatype string that is not an external identifier,related property,8
television character,"languages spoken, written or signed",8
film,country of origin,8
film,director,8
migratory bird sanctuary of Canada,operator,8
Wikidata property with datatype string that is not an external identifier,instance of,8
film,instance of,8
taxon,taxon common name,8
Wikidata property with datatype string that is not an external identifier,property constraint,8
Wikidata property with datatype string that is not an external identifier,property proposal discussion,8
film,genre,8
film,duration,8
fictional human,participated in conflict,8
publishing company,country,8
film,publication date,8
migratory bird sanctuary of Canada,instance of,8
migratory bird sanctuary of Canada,located in the administrative territorial entity,8
fictional human,child,8
migratory bird sanctuary of Canada,coordinate location,8
migratory bird sanctuary of Canada,area,8
fictional human,different from,8
migratory bird sanctuary of Canada,IUCN protected areas category,8
Wikidata property for authority control,applicable 'stated in' value,8
human,gens,8
literary character,sibling,8
film character,residence,8
video game,title,8
character,present in work,8
migratory bird sanctuary of Canada,inception,8
migratory bird sanctuary of Canada,country,8
film character,name in native language,8
human,discography,8
fictional human,character type,8
human,Academia.edu profile URL,8
family name,different from,8
Wikidata qualifier,Wikidata usage instructions,8
family name,Commons category,8
literary character,participated in conflict,8
aircraft model,undercarriage,8
Wikidata property related to medicine,URL match pattern,8
film character,hair color,8
nature reserve,IUCN protected areas category,8
human,depicted by,8
literary character,date of death,8
nature reserve,coordinate location,8
animated character,contributor to the creative work or subject,8
animated character,based on,7
video game,PEGI rating,7
Wikidata property related to classification schemes,instance of,7
Wikidata property related to classification schemes,property constraint,7
horse,animal breed,7
Wikidata property for an identifier that suggests notability,Wikidata item of this property,7
Wikidata property for an identifier that suggests notability,related property,7
family name,Soundex,7
Wikidata property for an identifier that suggests notability,property proposal discussion,7
Wikidata property for an identifier that suggests notability,property constraint,7
Wikidata property related to classification schemes,property proposal discussion,7
Wikidata property to identify organizations,property proposal discussion,7
Wikidata property to identify organizations,instance of,7
Wikidata property to identify organizations,property constraint,7
film character,date of birth,7
film character,Commons category,7
fictional human,position held,7
character,creator,7
fictional human,personality trait of fictional character,7
Wikidata property with datatype string that is not an external identifier,Wikidata item of this property,7
Wikidata property related to medicine,related property,7
nature reserve,inception,7
television character,manner of death,7
film,FSK film rating,7
human,praenomen,7
Wikidata property for an identifier that suggests notability,Wikidata property example,7
Wikidata property to identify organizations,Wikidata property example,7
television film,FSK film rating,7
human,affiliation string,7
television film,country of origin,7
literary character,child,7
character,performer,7
human,competition won,7
literary character,cause of death,7
aircraft model,Commons category,7
aircraft model,manufacturer,7
television film,title,7
television film,publication date,7
film character,participated in conflict,7
human,birthday,7
Wikidata property for an identifier that suggests notability,instance of,7
Wikidata property for authority control,Wikidata item of this property,7
film character,narrative role,7
Wikidata property related to classification schemes,Wikidata property example,7
television film,director,7
fictional human,first appearance,7
mineral species,"Strunz 8th edition (series ID, updated)",7
television film,duration,7
television film,film editor,7
television film,director of photography,7
human,hashtag,7
television film,instance of,7
television film,genre,7
animated character,manner of death,7
film,screenwriter,7
manga character,Commons category,7
animated character,sibling,7
fictional human,unmarried partner,7
television character,date of birth,7
human,professorship,7
television character,creator,7
television film,original language of film or TV show,7
taxon,IUCN conservation status,7
anime character,Commons category,7
video game character,performer,6
Wikidata property for an identifier that suggests notability,format as a regular expression,6
publishing company,official website,6
literary work,instance of,6
Wikidata property related to biology,instance of,6
Wikidata property related to biology,property constraint,6
Wikidata property related to biology,property proposal discussion,6
Wikidata property for authority control for people,stability of property value,6
Hobbit,given name,6
publishing company,political ideology,6
book publisher,country,6
television film,cast member,6
human,stepparent,6
mythological Greek character,instance of,6
film character,enemy,6
film character,sibling,6
aircraft model,powered by,6
video game character,voice actor,6
comics character,creator,6
fictional human,contributor to the creative work or subject,6
Wikidata property for an identifier,country,6
character,occupation,6
video game character,Commons category,6
video game,based on,6
Wikidata property with datatype string that is not an external identifier,stability of property value,6
television film,composer,6
book publisher,instance of,6
family name,language of work or name,6
literary character,mother,6
comics character,character type,6
film character,date of death,6
family name,Caverphone,6
Wikidata property to identify organizations,related property,6
Wikidata property to identify organizations,property usage tracking category,6
human,participant,6
human,military unit,6
human,name,6
Wikidata property to identify organizations,format as a regular expression,6
mythological Greek character,sex or gender,6
film character,mother,6
comics character,occupation,6
film character,media franchise,6
film character,member of,6
literary character,place of death,6
mineral species,type locality (geology),6
Wikidata property for an identifier,has characteristic,6
film character,spouse,6
television character,date of death,6
chapter,genre,6
taxon,Commons category,6
anime character,country of citizenship,6
video game character,hair color,6
river,instance of,6
river,length,6
river,mouth of the watercourse,6
river,coordinate location,6
film,title,6
river,country,6
Wikidata qualifier,stability of property value,6
film,original language of film or TV show,6
fictional human,social classification,6
book publisher,political ideology,6
Wikidata property for authority control for people,instance of,6
television character,country of citizenship,6
television character,residence,6
Wikidata property for authority control for people,property constraint,6
animated character,creator,6
human,short name,6
human,posthumous name,6
Wikidata property related to creative works,instance of,6
publishing company,headquarters location,6
Wikidata property related to creative works,property constraint,6
